"DADOS DO MUNICÍPIO - 

Nome do município
cod:municipio","DADOS DO MUNICÍPIO - 

Código IBGE (6 dígitos)
cod:ibge6","DADOS DO MUNICÍPIO - 

Código IBGE (7 dígitos)
cod:ibge7","Municipios que aderiram ao Criança Feliz.

Fonte: Sedese/DSBS/Consulta em 15/06/2026","Municipios com o serviço Família Acolhedora 

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para Criança e Adolescente

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para Idosos

Fonte: MDS/CadSUAS. Consulta em 15/06/2026","Municípios com unidade de Acolhimento para PCD

Fonte: MDS/CadSUAS. Consulta em 15/06/2026"
ABADIA DOS DOURADOS,310010,3100104,-,0,0,0,
ABAETE,310020,3100203,-,0,0,1,
ABRE CAMPO,310030,3100302,Aderiu,0,1,1,
ACAIACA,310040,3100401,-,0,0,0,
ACUCENA,310050,3100500,-,0,1,0,
AGUA BOA,310060,3100609,-,0,0,1,
AGUA COMPRIDA,310070,3100708,-,0,0,0,
AGUANIL,310080,3100807,-,1,1,1,
AGUAS FORMOSAS,310090,3100906,Aderiu,0,1,0,
AGUAS VERMELHAS,310100,3101003,Aderiu,0,0,0,
AIMORES,310110,3101102,Aderiu,1,2,1,
AIURUOCA,310120,3101201,-,0,1,1,
ALAGOA,310130,3101300,-,0,0,0,
ALBERTINA,310140,3101409,-,0,0,0,
ALEM PARAIBA,310150,3101508,-,0,1,1,
ALFENAS,310160,3101607,Aderiu,0,2,1,
ALFREDO VASCONCELOS,310163,3101631,-,0,0,0,
ALMENARA,310170,3101706,-,0,1,1,
ALPERCATA,310180,3101805,Aderiu,1,1,1,
ALPINOPOLIS,310190,3101904,Aderiu,0,0,1,
ALTEROSA,310200,3102001,-,0,0,2,
ALTO CAPARAO,310205,3102050,-,0,0,1,
ALTO JEQUITIBA,315350,3153509,-,1,2,1,
ALTO RIO DOCE,310210,3102100,-,0,0,1,
ALVARENGA,310220,3102209,Aderiu,0,0,1,
ALVINOPOLIS,310230,3102308,-,0,0,1,
ALVORADA DE MINAS,310240,3102407,-,0,0,0,
AMPARO DO SERRA,310250,3102506,-,0,0,1,
ANDRADAS,310260,3102605,-,0,1,1,
ANDRELANDIA,310280,3102803,-,0,1,1,
ANGELANDIA,310285,3102852,Aderiu,0,0,0,
ANTONIO CARLOS,310290,3102902,-,0,0,0,
ANTONIO DIAS,310300,3103009,Aderiu,0,0,0,
ANTONIO PRADO DE MINAS,310310,3103108,-,0,0,0,
ARACAI,310320,3103207,-,0,0,0,
ARACITABA,310330,3103306,-,0,0,0,
ARACUAI,310340,3103405,-,0,1,1,
ARAGUARI,310350,3103504,-,1,4,2,
ARANTINA,310360,3103603,-,0,0,0,
ARAPONGA,310370,3103702,Aderiu,0,0,0,
ARAPORA,310375,3103751,-,0,0,0,
ARAPUA,310380,3103801,-,0,0,1,
ARAUJOS,310390,3103900,-,0,1,1,
ARAXA,310400,3104007,-,1,3,2,
ARCEBURGO,310410,3104106,-,0,0,1,
ARCOS,310420,3104205,Aderiu,0,1,1,
AREADO,310430,3104304,-,0,1,1,
ARGIRITA,310440,3104403,-,0,0,0,
ARICANDUVA,310445,3104452,Aderiu,0,0,0,
ARINOS,310450,3104502,Aderiu,0,1,1,
ASTOLFO DUTRA,310460,3104601,Aderiu,0,0,1,
ATALEIA,310470,3104700,-,1,1,1,
AUGUSTO DE LIMA,310480,3104809,-,0,1,1,
BAEPENDI,310490,3104908,Aderiu,0,1,1,
BALDIM,310500,3105004,-,0,0,0,
BAMBUI,310510,3105103,-,0,1,1,
BANDEIRA,310520,3105202,-,0,0,1,
BANDEIRA DO SUL,310530,3105301,-,0,0,0,
BARAO DE COCAIS,310540,3105400,-,0,1,0,
BARAO DE MONTE ALTO,310550,3105509,-,0,0,0,
BARBACENA,310560,3105608,Aderiu,1,3,4,
BARRA LONGA,310570,3105707,-,0,0,0,
BARROSO,310590,3105905,Aderiu,0,1,1,
BELA VISTA DE MINAS,310600,3106002,-,1,2,0,
BELMIRO BRAGA,310610,3106101,-,0,0,0,
BELO HORIZONTE,310620,3106200,-,1,48,28,
BELO ORIENTE,310630,3106309,-,0,1,0,
BELO VALE,310640,3106408,-,0,0,0,
BERILO,310650,3106507,Aderiu,0,0,0,
BERIZAL,310665,3106655,Aderiu,0,1,0,
BERTOPOLIS,310660,3106606,Aderiu,1,1,0,
BETIM,310670,3106705,-,1,8,4,
BIAS FORTES,310680,3106804,-,0,0,1,
BICAS,310690,3106903,-,0,0,1,
BIQUINHAS,310700,3107000,-,0,0,0,
BOA ESPERANCA,310710,3107109,Aderiu,0,1,1,
BOCAINA DE MINAS,310720,3107208,-,0,0,0,
BOCAIUVA,310730,3107307,Aderiu,0,1,1,
BOM DESPACHO,310740,3107406,Aderiu,1,2,1,
BOM JARDIM DE MINAS,310750,3107505,-,0,0,0,
